school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,at_risk,school_encoded,sex_encoded,address_encoded,famsize_encoded,Pstatus_encoded,Mjob_encoded,Fjob_encoded,reason_encoded,guardian_encoded,schoolsup_encoded,famsup_encoded,paid_encoded,activities_encoded,nursery_encoded,higher_encoded,internet_encoded,romantic_encoded,time_on_task_ratio,performance_trend,engagement_score,consistency_index,cumulative_performance,total_alcohol,parent_education,support_system
GP,F,18,U,GT3,T,2,3,other,services,reputation,father,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,15,14,14,0,0,0,1,0,1,2,3,3,0,0,1,1,1,1,1,1,1,1.9651741293532337,-1,0.6491228070175439,0.5773502691896258,14.5,4,5,1
GP,F,18,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes,yes,no,no,yes,no,no,4,4,3,1,1,3,2,11,11,11,0,0,0,1,1,1,2,2,1,1,0,1,1,0,0,1,0,0,0.9825870646766168,0,0.6578947368421053,0.0,11.0,2,2,1
GP,M,17,R,GT3,T,1,2,at_home,at_home,home,mother,1,2,0,no,yes,yes,yes,no,yes,no,yes,3,5,2,2,2,1,2,15,14,14,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0.9825870646766168,-1,0.8245614035087719,0.5773502691896258,14.5,4,3,1
GP,F,17,U,GT3,T,2,4,at_home,health,reputation,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,1,1,2,10,10,10,0,0,0,1,0,1,0,1,3,1,0,1,1,0,1,1,1,1,0.9825870646766168,0,0.6578947368421053,0.0,10.0,2,6,1
GP,F,17,U,LE3,T,2,2,services,other,course,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,12,12,12,0,0,0,1,1,1,3,2,0,1,1,1,1,0,1,1,1,1,0.9825870646766168,0,0.47368421052631576,0.0,12.0,5,4,2
GP,F,18,R,GT3,A,3,2,other,services,home,mother,2,2,0,no,no,no,no,no,no,yes,yes,4,1,1,1,1,5,75,10,9,9,1,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,1,1,0.9825870646766168,-1,0.004385964912280715,0.5773502691896258,9.5,2,5,0
GP,M,18,U,GT3,T,4,4,teacher,services,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,3,2,4,1,4,3,22,9,9,9,1,0,1,1,0,1,4,3,1,1,0,0,1,1,1,1,1,0,0.4912935323383084,0,0.7368421052631579,0.0,9.0,5,8,0
GP,F,18,U,GT3,T,4,4,health,health,reputation,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,1,1,4,15,9,8,8,1,0,0,1,0,1,1,1,3,0,1,1,0,1,1,1,1,1,0.9825870646766168,-1,0.7675438596491228,0.5773502691896258,8.5,2,8,2
GP,M,18,U,LE3,T,4,3,teacher,services,course,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,1,2,1,8,10,11,10,0,0,1,1,1,1,4,3,0,1,0,0,1,1,1,1,1,0,0.4912935323383084,0,0.9649122807017544,0.5773502691896258,10.5,3,7,0
GP,M,17,U,LE3,A,4,1,services,other,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,yes,4,5,4,2,4,5,30,8,8,8,1,0,1,1,1,0,3,2,1,1,0,0,1,1,1,1,1,1,0.4912935323383084,0,0.7017543859649122,0.0,8.0,6,5,0
GP,M,17,U,LE3,A,3,2,teacher,services,home,mother,1,1,1,no,no,no,no,yes,yes,yes,no,4,4,4,3,4,3,19,11,9,10,0,0,1,1,1,0,4,3,1,1,0,0,0,0,1,1,1,0,0.4912935323383084,-1,0.4166666666666667,1.0,10.0,7,5,0
GP,F,18,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5,2,2,1,1,3,1,12,12,12,0,0,0,0,1,1,0,2,3,1,0,1,1,1,1,1,0,0,1.9651741293532337,0,0.8289473684210527,0.0,12.0,2,2,1
GP,F,18,U,GT3,T,1,1,other,other,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,4,1,1,4,4,8,9,10,0,0,0,1,0,1,2,2,1,1,1,0,0,1,1,1,1,0,0.9825870646766168,2,0.8157894736842106,1.0,8.5,2,2,1
GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,5,1,2,5,4,10,9,11,0,0,0,1,0,1,2,2,0,1,0,1,0,0,0,1,1,0,0.9825870646766168,1,0.31578947368421056,1.0,9.5,3,4,1
GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no,yes,no,no,yes,yes,no,4,3,3,1,2,4,2,12,10,11,0,0,1,1,0,1,2,2,3,0,0,0,1,0,0,1,1,0,0.9825870646766168,-1,0.6578947368421053,1.0,11.0,3,2,0
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,2,5,18,18,19,0,0,0,1,0,1,0,0,2,1,0,1,1,0,1,1,1,0,1.4738805970149251,1,0.6447368421052632,0.5773502691896258,18.0,3,4,1
GP,F,17,U,GT3,T,1,1,services,teacher,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,3,6,13,12,12,0,0,0,1,0,1,3,4,3,1,0,1,1,0,1,1,1,0,1.4738805970149251,-1,0.6403508771929824,0.5773502691896258,12.5,2,2,1
GP,M,18,U,GT3,T,2,1,services,services,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,4,1,3,2,6,15,14,14,0,0,1,1,0,1,3,3,3,1,0,0,1,1,1,1,1,0,1.4738805970149251,-1,0.8070175438596491,0.5773502691896258,14.5,4,3,0
GP,M,18,U,LE3,A,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,3,1,1,2,9,15,13,15,0,0,1,1,1,0,4,4,3,1,0,1,1,1,1,1,1,0,0.9825870646766168,0,0.9605263157894738,1.1547005383792515,14.0,2,8,1
GP,M,18,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,4,5,11,12,11,11,0,0,1,1,0,1,4,2,1,1,0,1,1,1,1,1,1,1,0.9825870646766168,-1,0.7850877192982456,0.5773502691896258,11.5,5,6,1
GP,F,17,U,GT3,T,4,3,health,services,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,3,0,15,15,15,0,0,0,1,0,1,1,3,3,1,0,1,1,0,1,1,1,0,1.4738805970149251,0,0.5,0.0,15.0,3,7,1
GP,F,18,U,LE3,T,2,1,services,at_home,reputation,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,5,4,3,1,1,5,12,12,12,13,0,0,0,1,1,1,3,0,3,1,0,0,0,0,1,1,1,1,0.9825870646766168,1,0.6140350877192983,0.5773502691896258,12.0,2,3,0
GP,F,17,R,LE3,T,3,1,services,other,reputation,mother,2,4,0,no,yes,yes,no,yes,yes,no,no,3,1,2,1,1,3,6,18,18,18,0,0,0,0,1,1,3,2,3,1,0,1,1,0,1,1,0,0,1.9651741293532337,0,0.47368421052631576,0.0,18.0,2,4,1
GP,M,18,R,LE3,T,3,2,services,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,1,4,8,14,13,14,0,0,1,0,1,1,3,2,3,1,0,1,1,1,1,1,1,0,1.4738805970149251,0,0.7982456140350878,0.5773502691896257,13.5,2,5,1
GP,M,17,U,GT3,T,3,3,health,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,4,14,12,11,0,0,1,1,0,1,1,2,1,1,0,1,1,0,1,1,1,0,0.4912935323383084,-3,0.6491228070175439,1.5275252316519465,13.0,4,6,1
GP,F,19,U,GT3,T,4,4,health,other,reputation,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,2,3,4,2,3,2,0,10,9,0,1,0,0,1,0,1,1,2,3,2,0,1,1,1,1,1,1,0,0.9825870646766168,-10,0.8333333333333334,5.507570547286102,9.5,5,8,1
GP,F,18,U,LE3,T,4,3,other,other,home,other,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,5,1,2,2,10,10,8,8,1,0,0,1,1,1,2,2,1,2,0,1,1,0,1,1,1,1,0.9825870646766168,-2,0.2894736842105263,1.1547005383792517,9.0,3,7,1
GP,F,18,U,GT3,T,4,3,other,other,reputation,father,1,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,3,0,14,13,14,0,0,0,1,0,1,2,2,3,0,0,1,1,0,1,1,1,0,1.9651741293532337,0,0.6666666666666666,0.5773502691896257,13.5,2,7,1
GP,M,18,U,LE3,T,4,4,teacher,teacher,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,1,4,2,2,2,1,5,16,15,16,0,0,1,1,1,1,4,4,1,1,0,1,1,0,1,1,1,1,0.4912935323383084,0,0.4780701754385965,0.5773502691896257,15.5,4,8,1
GP,F,18,U,LE3,A,4,4,health,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,4,1,1,4,14,12,10,11,0,0,0,1,1,0,1,2,1,1,0,1,0,0,1,1,1,1,0.9825870646766168,-1,0.4385964912280702,1.0,11.0,2,8,1
GP,M,17,U,LE3,T,4,4,other,teacher,home,father,2,1,0,no,no,yes,no,yes,yes,yes,no,4,1,1,2,2,5,0,11,11,10,0,0,1,1,1,1,2,4,1,0,0,0,1,0,1,1,1,0,0.4912935323383084,-1,0.3333333333333333,0.5773502691896257,11.0,4,8,0
GP,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,3,0,15,12,14,0,0,0,1,0,1,2,2,3,1,0,1,1,0,1,1,1,0,1.4738805970149251,-1,0.6666666666666666,1.5275252316519468,13.5,2,6,1
GP,F,17,U,GT3,T,3,2,health,health,reputation,father,1,4,0,no,yes,yes,yes,no,yes,yes,no,5,2,2,1,2,5,0,17,17,18,0,0,0,1,0,1,1,1,3,0,0,1,1,1,0,1,1,0,1.9651741293532337,1,0.8333333333333334,0.5773502691896258,17.0,3,5,1
GP,M,19,U,GT3,T,3,3,other,other,home,other,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,3,20,15,14,13,0,0,1,1,0,1,2,2,1,2,0,1,0,1,1,1,1,1,0.9825870646766168,-2,0.7456140350877193,1.0,14.5,2,6,1
GP,F,18,U,GT3,T,2,4,services,at_home,reputation,other,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,1,3,8,14,12,12,0,0,0,1,0,1,3,0,3,2,0,1,1,1,1,1,1,0,0.9825870646766168,-2,0.9649122807017544,1.1547005383792517,13.0,2,6,1
GP,M,20,U,GT3,A,3,2,services,other,course,other,1,1,0,no,no,no,yes,yes,yes,no,no,5,5,3,1,1,5,0,17,18,18,0,0,1,1,0,0,3,2,0,2,0,0,0,1,1,1,0,0,0.4912935323383084,1,1.0,0.5773502691896258,17.5,2,5,0
GP,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1,no,yes,yes,no,yes,yes,yes,yes,4,3,4,1,1,4,38,8,9,8,1,0,1,1,0,1,4,3,3,2,0,1,1,0,1,1,1,1,0.4912935323383084,0,0.3333333333333333,0.5773502691896258,8.5,2,8,1
GP,M,19,R,GT3,T,3,3,other,services,reputation,father,1,2,1,no,no,no,yes,yes,yes,no,yes,4,5,3,1,2,5,0,15,12,12,0,0,1,0,0,1,2,3,3,0,0,0,0,1,1,1,0,1,0.9825870646766168,-3,1.0,1.7320508075688772,13.5,3,6,0
GP,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,18,12,10,10,0,0,0,1,1,1,0,2,3,2,1,1,0,1,0,1,1,0,0.9825870646766168,-2,0.9210526315789473,1.1547005383792517,11.0,4,2,2
GP,F,19,U,LE3,T,1,2,services,services,home,other,1,2,1,no,no,no,yes,no,yes,no,yes,4,2,4,2,2,3,0,9,9,0,1,0,0,1,1,1,3,3,1,2,0,0,0,1,0,1,0,1,0.9825870646766168,-9,0.8333333333333334,5.196152422706632,9.0,4,3,0
GP,F,19,U,GT3,T,2,1,at_home,other,other,other,3,2,0,no,yes,no,no,yes,no,yes,yes,3,4,1,1,1,2,20,14,12,13,0,0,0,1,0,1,0,2,2,2,0,1,0,0,1,0,1,1,0.9825870646766168,-1,0.2456140350877193,1.0,13.0,2,3,1
GP,M,19,U,GT3,T,1,2,other,services,course,other,1,2,1,no,no,no,no,no,yes,yes,no,4,5,2,2,2,4,3,13,11,11,0,0,1,1,0,1,2,3,0,2,0,0,0,0,0,1,1,0,0.9825870646766168,-2,0.4868421052631579,1.1547005383792517,12.0,4,3,0
GP,F,19,U,LE3,T,3,2,services,other,reputation,other,2,2,1,no,yes,yes,no,no,yes,yes,yes,4,2,2,1,2,1,22,13,10,11,0,0,0,1,1,1,3,2,3,2,0,1,1,0,0,1,1,1,0.9825870646766168,-2,0.40350877192982454,1.5275252316519468,11.5,3,5,1
GP,F,19,U,GT3,T,1,1,at_home,health,home,other,1,3,2,no,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,14,15,13,13,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,1,1,1,1.4738805970149251,-2,0.4385964912280702,1.1547005383792517,14.0,2,2,0
GP,F,19,R,GT3,T,2,3,other,other,reputation,other,1,3,1,no,no,no,no,yes,yes,yes,yes,4,1,2,1,1,3,40,13,11,11,0,0,0,0,0,1,2,2,3,2,0,0,0,0,1,1,1,1,1.4738805970149251,-2,0.32456140350877194,1.1547005383792517,12.0,2,5,0
GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,2,1,0,8,8,0,1,0,0,1,0,1,3,2,0,1,0,1,1,1,1,1,1,0,0.9825870646766168,-8,1.0,4.618802153517007,8.0,3,3,1
GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,9,9,10,9,1,0,0,1,0,1,2,2,0,1,0,1,1,1,1,1,1,1,1.4738805970149251,0,0.793859649122807,0.5773502691896258,9.5,2,7,1
GP,F,17,R,GT3,T,3,4,at_home,services,course,father,1,3,0,no,yes,yes,yes,no,yes,yes,no,4,3,4,2,5,5,0,11,11,10,0,0,0,0,0,1,0,3,0,0,0,1,1,1,0,1,1,0,1.4738805970149251,-1,0.8333333333333334,0.5773502691896257,11.0,7,7,1
GP,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,3,3,5,2,11,11,11,0,0,0,1,0,1,4,2,0,1,0,1,1,0,1,1,1,0,0.9825870646766168,0,0.4912280701754386,0.0,11.0,6,8,1
GP,F,17,U,GT3,A,4,3,services,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,2,2,1,2,5,23,13,13,13,0,0,0,1,0,0,3,3,0,1,0,1,1,0,1,1,1,1,0.9825870646766168,0,0.3991228070175439,0.0,13.0,3,7,1
GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,2,2,1,1,3,12,11,9,9,1,0,0,1,0,1,2,2,0,1,0,1,0,0,1,1,0,1,0.9825870646766168,-2,0.4473684210526316,1.1547005383792517,10.0,2,4,1
GP,F,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,2,2,3,3,11,11,11,0,0,0,0,1,1,3,3,0,1,0,1,1,1,1,1,1,0,1.4738805970149251,0,0.8201754385964911,0.0,11.0,4,4,1
GP,F,17,U,GT3,T,3,1,services,services,course,father,1,3,0,no,yes,no,no,no,yes,yes,no,3,4,3,2,3,5,1,12,14,15,0,0,0,1,0,1,3,3,0,0,0,1,0,0,0,1,1,0,1.4738805970149251,3,0.662280701754386,1.5275252316519468,13.0,5,4,1
GP,F,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,0,no,no,no,no,yes,yes,yes,no,3,3,3,2,3,2,0,16,15,15,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1.4738805970149251,-1,0.6666666666666666,0.5773502691896258,15.5,5,2,0
GP,M,18,U,GT3,T,4,4,other,other,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,2,3,3,9,12,11,0,0,1,1,0,1,2,2,0,1,0,0,0,1,1,1,1,0,1.4738805970149251,2,0.9868421052631579,1.5275252316519468,10.5,4,8,0
GP,M,17,U,GT3,T,3,3,other,services,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4,3,5,3,5,5,3,14,15,16,0,0,1,1,0,1,2,3,3,1,0,0,0,1,0,1,1,0,0.4912935323383084,2,0.6535087719298246,1.0,14.5,8,6,0
GP,M,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,4,8,11,10,10,0,0,1,0,0,1,3,2,0,1,0,1,0,0,1,1,1,0,0.4912935323383084,-1,0.2982456140350877,0.5773502691896258,10.5,10,4,1
GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,3,4,7,10,9,9,1,0,0,1,0,1,4,3,0,1,0,1,1,1,1,1,1,0,1.4738805970149251,-1,0.8026315789473685,0.5773502691896258,9.5,4,8,1
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,4,3,3,1,2,4,4,14,14,14,0,0,0,1,0,1,4,4,0,1,0,1,1,0,0,1,1,1,1.4738805970149251,0,0.6491228070175439,0.0,14.0,3,8,1
GP,M,18,U,LE3,T,2,2,other,other,course,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,2,4,5,2,9,8,8,1,0,1,1,1,1,2,2,0,1,0,1,0,1,1,1,1,0,1.9651741293532337,-1,0.6578947368421053,0.5773502691896258,8.5,6,4,1
GP,F,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,5,7,12,14,14,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,1.4738805970149251,2,0.6359649122807017,1.1547005383792515,13.0,2,6,1
GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,0,7,0,0,1,0,0,1,0,1,3,3,1,1,0,0,0,1,1,1,1,0,0.9825870646766168,-7,0.8333333333333334,4.041451884327381,3.5,2,6,0
GP,F,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,1,1,2,0,8,8,0,1,0,0,1,1,1,2,2,1,2,0,0,0,1,0,1,1,1,0.9825870646766168,-8,1.0,4.618802153517007,8.0,2,4,0
GP,F,18,R,GT3,T,2,2,at_home,other,course,mother,2,4,0,no,no,no,yes,yes,yes,no,no,4,4,4,1,1,4,0,10,9,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,1,0,0,1.9651741293532337,-10,0.8333333333333334,5.507570547286102,9.5,2,4,0
GP,F,17,U,GT3,T,3,4,services,other,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4,4,5,1,3,5,16,16,15,15,0,0,0,1,0,1,3,2,0,1,0,0,0,0,1,1,1,0,1.4738805970149251,-1,0.2631578947368421,0.5773502691896258,15.5,4,7,0
GP,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no,yes,no,yes,yes,no,no,5,4,3,1,2,5,12,14,13,13,0,0,0,0,0,0,3,0,1,2,0,0,1,0,1,1,0,0,1.4738805970149251,-1,0.6140350877192983,0.5773502691896258,13.5,3,4,0
GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,2,3,2,0,7,8,0,1,0,0,1,0,1,2,2,1,1,0,1,1,0,1,1,1,1,0.9825870646766168,-7,0.5,4.358898943540674,7.5,5,5,1
GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,1,7,16,15,17,0,0,0,1,1,1,3,3,1,1,0,1,0,0,1,1,1,0,1.9651741293532337,1,0.6359649122807017,1.0,15.5,2,6,1
GP,F,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,2,4,9,10,10,0,0,0,0,0,0,2,2,1,1,0,1,1,0,1,1,1,0,0.9825870646766168,1,0.6491228070175439,0.5773502691896257,9.5,5,5,1
GP,F,19,U,GT3,T,2,1,services,services,home,other,1,3,1,no,no,yes,yes,yes,yes,yes,yes,4,3,4,1,3,3,4,11,12,11,0,0,0,1,0,1,3,3,1,2,0,0,1,1,1,1,1,1,1.4738805970149251,0,0.8157894736842106,0.5773502691896258,11.5,4,3,0
GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,2,0,10,10,0,1,0,1,1,0,1,4,3,1,0,0,1,0,1,1,1,1,0,0.9825870646766168,-10,1.0,5.773502691896257,10.0,4,8,1
GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,3,5,11,16,15,15,0,0,1,1,1,1,3,2,1,1,0,0,0,1,1,1,1,1,0.9825870646766168,-1,0.9517543859649122,0.5773502691896258,15.5,4,7,0
GP,F,17,U,GT3,A,2,2,at_home,at_home,home,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,3,3,1,1,2,4,0,9,8,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0.9825870646766168,-9,0.3333333333333333,4.932882862316248,8.5,3,4,1
GP,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,3,4,11,10,10,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,1,1,0,1.4738805970149251,-1,0.6491228070175439,0.5773502691896258,10.5,3,5,1
GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,3,2,3,1,7,13,13,14,0,0,0,1,0,1,2,3,2,1,0,0,0,0,1,1,1,1,1.4738805970149251,1,0.6359649122807017,0.5773502691896258,13.0,5,5,0
GP,M,18,R,GT3,T,4,3,teacher,services,course,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,3,2,1,2,4,9,16,15,16,0,0,1,0,0,1,4,3,0,1,0,0,0,0,1,1,1,1,1.4738805970149251,0,0.4605263157894737,0.5773502691896257,15.5,3,7,0
GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5,4,5,2,3,5,0,10,10,9,1,0,1,1,0,1,4,2,0,1,0,1,1,0,1,1,1,1,1.4738805970149251,-1,0.3333333333333333,0.5773502691896257,10.0,5,7,1
GP,F,17,U,GT3,T,4,3,health,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,13,15,15,0,0,0,1,0,1,1,2,3,1,0,1,1,1,1,1,1,1,1.4738805970149251,2,1.0,1.1547005383792515,14.0,4,7,1
MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,no,yes,no,no,no,yes,yes,no,2,5,5,5,5,5,10,11,13,13,0,1,1,0,0,1,2,2,0,1,0,1,0,0,0,1,1,0,0.4912935323383084,2,0.2894736842105263,1.1547005383792515,12.0,10,5,1
MS,M,19,R,GT3,T,1,1,other,services,home,other,3,2,3,no,no,no,no,yes,yes,yes,no,5,4,4,3,3,2,8,8,7,8,1,1,1,0,0,1,2,3,1,2,0,0,0,0,1,1,1,0,0.9825870646766168,0,0.46491228070175444,0.5773502691896257,7.5,6,2,0
MS,M,17,U,GT3,T,3,3,health,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,4,2,3,3,2,13,13,13,0,1,1,1,0,1,1,2,0,1,0,1,1,0,1,1,1,0,0.9825870646766168,0,0.4912280701754386,0.0,13.0,5,6,1
MS,M,18,U,LE3,T,1,3,at_home,services,course,mother,1,1,1,no,no,no,no,yes,no,yes,yes,4,3,3,2,3,3,7,8,7,8,1,1,1,1,1,1,0,3,0,1,0,0,0,0,1,0,1,1,0.4912935323383084,0,0.6359649122807017,0.5773502691896257,7.5,5,4,0
MS,M,19,R,GT3,T,1,1,other,other,home,other,3,1,1,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,5,4,8,8,8,1,1,1,0,0,1,2,2,1,2,0,1,0,0,1,1,1,0,0.4912935323383084,0,0.4824561403508772,0.0,8.0,6,2,1
MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4,13,11,11,0,1,1,0,0,1,3,2,1,1,0,1,1,1,0,1,1,1,0.9825870646766168,-2,0.6491228070175439,1.1547005383792517,12.0,4,7,1
MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,1,1,5,0,10,9,9,1,1,0,1,0,1,3,3,0,0,0,1,0,0,1,1,0,1,0.9825870646766168,-1,0.5,0.5773502691896258,9.5,2,6,1
MS,F,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,4,12,13,13,0,1,0,0,0,1,4,3,2,0,0,1,1,1,1,1,1,0,0.9825870646766168,1,0.9824561403508772,0.5773502691896257,12.5,3,8,1
MS,F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1,2,3,1,2,5,2,12,12,11,0,1,0,1,1,0,3,2,3,1,0,0,0,0,1,1,0,1,0.9825870646766168,-1,0.6578947368421053,0.5773502691896257,12.0,3,5,0
MS,M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,4,10,10,10,0,1,1,1,1,1,2,3,1,0,0,0,0,0,0,1,1,1,0.4912935323383084,0,0.4824561403508772,0.0,10.0,3,2,0
MS,F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,1,4,0,18,16,16,0,1,0,1,1,1,0,3,0,0,0,0,0,0,1,1,1,0,1.4738805970149251,-2,0.5,1.1547005383792517,17.0,2,2,0
MS,F,18,R,LE3,A,1,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,4,1,4,5,0,13,13,13,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,0.9825870646766168,0,0.5,0.0,13.0,5,5,0
MS,M,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no,no,yes,no,no,no,no,4,4,3,2,3,5,2,13,12,12,0,1,1,0,1,1,0,2,2,1,0,0,0,1,0,0,0,0,0.9825870646766168,-1,0.9912280701754387,0.5773502691896258,12.5,5,2,0
